id,trade_id,timestamp,symbol,price,quantity,buy_order_id,sell_order_id,buy_agent_id,sell_agent_id,aggressor_side,market_impact
30,TRD_20240102_093400_000030,2024-01-02 09:34:00,AAPL,150.1,50,ORD_hft_0017_20240102_093400_9719,ORD_hft_0007_20240102_093400_8863,hft_0017,hft_0007,SELL,0.00013326226012781055
31,TRD_20240102_093400_000031,2024-01-02 09:34:00,AAPL,149.88,50,ORD_hft_0020_20240102_093400_3705,ORD_hft_0007_20240102_093400_8863,hft_0020,hft_0007,SELL,0.0014656895403064548
32,TRD_20240102_093400_000032,2024-01-02 09:34:00,AAPL,150.11,66,ORD_hft_0036_20240102_093400_1728,ORD_retail_0304_20240102_093400_4770,hft_0036,retail_0304,BUY,0.00153456098211915
33,TRD_20240102_093500_000033,2024-01-02 09:35:00,GOOGL,2504.25,72,ORD_hft_0014_20240102_093500_8302,ORD_retail_0189_20240102_093500_3413,hft_0014,retail_0189,BUY,1.9590752968254266e-06
34,TRD_20240102_093500_000034,2024-01-02 09:35:00,GOOGL,2504.09,138,ORD_hft_0025_20240102_093500_8085,ORD_retail_0189_20240102_093500_3413,hft_0025,retail_0189,SELL,6.389138464604352e-05
35,TRD_20240102_093500_000035,2024-01-02 09:35:00,GOOGL,2499.73,71,ORD_hft_0058_20240102_093500_5551,ORD_retail_0189_20240102_093500_3413,hft_0058,retail_0189,SELL,0.0017411514761850122
36,TRD_20240102_093500_000036,2024-01-02 09:35:00,GOOGL,2501.92,458,ORD_market_maker_0025_20240102_093500_2767,ORD_retail_0189_20240102_093500_3413,market_maker_0025,retail_0189,SELL,0.0008760946182187894
37,TRD_20240102_093500_000037,2024-01-02 09:35:00,AAPL,150.27,130,ORD_hft_0015_20240102_093500_1254,ORD_hft_0004_20240102_093500_3659,hft_0015,hft_0004,BUY,0.0010296663619244627
38,TRD_20240102_093600_000038,2024-01-02 09:36:00,GOOGL,2503.21,116,ORD_hft_0012_20240102_093600_5725,ORD_hft_0013_20240102_093600_1566,hft_0012,hft_0013,BUY,0.0004693217470339491
39,TRD_20240102_093700_000039,2024-01-02 09:37:00,GOOGL,2502.88,173,ORD_hft_0002_20240102_093700_6560,ORD_hft_0011_20240102_093700_3533,hft_0002,hft_0011,SELL,0.00016671689083708066
40,TRD_20240102_093700_000040,2024-01-02 09:37:00,GOOGL,2500.7,188,ORD_hft_0016_20240102_093700_1132,ORD_hft_0011_20240102_093700_3533,hft_0016,hft_0011,SELL,0.0008709966119032039
